Id,SalePrice
2658,135969.5471423373
2718,180636.24168774483
2414,179740.83947904897
1989,121141.74918236208
625,188406.39393320927
333,97480.45010458493
1327,115312.63133304499
858,147166.18252231265
95,187509.84887259174
1568,165172.0908707218
2482,166022.5940085818
1364,123474.82145261053
2584,159015.94059970428
818,289071.79938783875
2673,152988.6110573366
2089,137021.88776849696
1297,158131.68868640965
790,117431.41132041972
2616,196206.85320052048
720,175614.7490602533
222,142270.56525120928
557,122558.65340944978
1148,216348.9259700821
2766,155228.2730759973
534,200886.8281710272
1452,111689.25155747088
630,145393.5084143121
2648,119643.48060257538
125,142096.04650065608
1904,62741.44875006045
1670,109897.5994751198
756,100546.0479247963
717,242853.21093028493
1032,162657.0810169147
852,226954.97982342404
1731,173112.01174983295
2639,123626.9029991533
2071,88182.42700395563
1267,110208.80329098494
1851,195798.03976257495
567,151416.46114361502
2439,214860.4368060338
1898,154137.72419233722
647,169372.48865259127
2256,222202.2518549313
979,108897.43044465345
1444,218303.51554706763
2485,114405.83683852754
157,132174.7983566011
88,127124.36297618259
2003,109183.72660205512
186,185898.08122186633
1425,264008.52327031293
2695,131850.46822269406
738,110204.06121999094
395,151086.35479451812
1353,149125.1238004647
1878,143808.74477757962
390,161820.06799930075
1456,235266.05447995913
1103,307501.33331790386
1387,114484.21232444738
2070,153738.66757040538
1199,173964.29416952204
2479,170161.0861123763
501,322129.0612242214
2362,90540.75632261582
1718,205069.7423591442
2188,82443.46261771674
1483,145830.77545102127
2557,91925.42959755645
437,345824.1757730551
2224,184625.71310098298
1628,168056.92809113747
397,134699.62531552775
587,200121.35604457103
2182,750502.1416813597
971,144911.55108583215
2611,149878.23569254315
1887,97014.13871017184
2399,356173.97821551305
2148,219732.4630443851
304,115453.75461559983
1997,125607.64669625959
2817,120980.46455906659
1431,176680.48196057646
427,416177.42099044647
263,115905.57554411862
598,167791.0470656187
2895,232033.12489525476
687,143059.10843085498
1822,129464.93253123028
2191,106733.54748265122
179,135901.18534031304
1009,194956.78536351386
2010,124180.80771856093
1991,134635.20353202775
1411,157173.26974364588
1721,249309.0118364421
1144,189265.8353109664
593,200157.0192186952
575,285548.7463462902
1249,178418.01812412258
1604,117332.12993217302
1064,575890.4515670121
1923,167497.23750071946
1988,97924.83425637343
2325,165745.11598147807
114,197201.89024248775
2700,162943.43164016464
217,125322.31062222511
343,173621.44977250384
386,238819.50659496267
2005,136745.52597702012
2908,143618.3291512945
1814,217204.8638532172
2446,470521.968492274
208,148430.10690136533
1679,120001.2968423038
822,338225.47859829396
6,182675.66573632372
1781,419676.2229733921
2397,299812.4029892867
2340,287161.2300675508
1618,160138.8640827084
2843,113554.83397856621
1061,379189.4835152009
2786,119622.33687091093
1935,129131.7735150744
1341,116464.60467753149
521,268670.177630692
2136,133931.346765824
996,185533.5266748088
227,155703.82816263146
135,155206.7550169126
1167,158328.60563856698
294,244947.15250557548
1776,201256.6625613076
540,185397.2477218934
1717,205069.7423591442
2303,122280.20248543602
116,189128.97462234355
127,129486.32326092962
1371,134301.61304119776
1014,184618.72115054668
1507,92652.74282207155
702,143075.4348144222
750,139993.75587956648
261,151057.88221841317
1559,87785.86273004957
577,230481.3483683846
2812,200520.26979013605
2080,149234.1517613581
1368,117737.1945817055
2376,120362.53593241125
659,109625.06789885556
1235,116667.69906959114
332,93751.29831019831
1917,134754.73385368625
2094,255096.91711423747
1460,286725.87578659685
1471,205567.61057300874
1509,124650.46872368551
1922,127061.92372012707
433,548360.1292548229
460,270104.1827594168
1116,254598.2002821931
1137,175404.9426575517
53,179384.477801951
2354,258887.540484406
1475,199800.57867776757
1761,667708.4839500538
842,141435.15220612317
2739,164862.3562867633
2509,149259.10149252386
1007,207626.06483478603
2610,173702.2064909329
1952,91626.46880821702
2719,162682.33027742078
2921,98189.868996577
1966,136316.36015208866
292,123603.43787747604
1204,185268.3057556496
1829,265442.4325626224
